Date,Close,,
2015-03-03,83.37,,
2015-03-04,82.58,,
2015-03-05,83.57,,
2015-03-06,82.59,,
2015-03-09,82.88,,
2015-03-10,82.07,,
2015-03-11,80.69,,
2015-03-12,81.9,,
2015-03-13,81.9,,
2015-03-16,83.29,,
2015-03-17,82.62,,
2015-03-18,82.53,,
2015-03-19,81.52,,
2015-03-20,83.24,,
2015-03-23,83.31,,
2015-03-24,83.05,,
2015-03-25,81.32,,
2015-03-26,81.89,,
2015-03-27,81.35,,
2015-03-30,82.53,,
2015-03-31,82.25,,
2015-04-01,80.71,,
2015-04-02,80.73,,
2015-04-06,80.99,,
2015-04-07,80.5,,
2015-04-08,81.03,,
2015-04-09,80.84,,
2015-04-10,80.65,,
2015-04-13,80.29,,
2015-04-14,80.15,,
2015-04-15,79.74,,
2015-04-16,79.24,,
2015-04-17,77.88,,
2015-04-20,78.14,,
2015-04-21,78.03,,
2015-04-22,78.43,,
2015-04-23,79.18,,
2015-04-24,79.84,,
2015-04-27,79.37,,
2015-04-28,79.1,,
2015-04-29,77.88,,
2015-04-30,78.05,,
2015-05-01,78.6,,
2015-05-04,79.18,,
2015-05-05,78.13,,
2015-05-06,77.65,,
2015-05-07,78.03,,
2015-05-08,78.53,,
2015-05-11,78.1,,
2015-05-12,78.96,,
2015-05-13,78.16,,
2015-05-14,78.72,,
2015-05-15,79.24,,
2015-05-18,79.92,,
2015-05-19,76.43,,
2015-05-20,75.9,,
2015-05-21,76.11,,
2015-05-22,75.86,,
2015-05-26,74.9,,
2015-05-27,75.19,,
2015-05-28,74.84,,
2015-05-29,74.27,,
2015-06-01,74.73,,
2015-06-02,74.53,,
2015-06-03,74.89,,
2015-06-04,74.15,,
2015-06-05,73.06,,
2015-06-08,72.61,,
2015-06-09,72.47,,
2015-06-10,72.93,,
2015-06-11,72.94,,
2015-06-12,72.43,,
2015-06-15,71.93,,
2015-06-16,72.35,,
2015-06-17,72.73,,
2015-06-18,72.98,,
2015-06-19,72.74,,
2015-06-22,72.79,,
2015-06-23,72.57,,
2015-06-24,72.38,,
2015-06-25,71.86,,
2015-06-26,72.12,,
2015-06-29,71.42,,
2015-06-30,70.93,,
2015-07-01,71.88,,
2015-07-02,71.86,,
2015-07-06,72.53,,
2015-07-07,73.79,,
2015-07-08,73.06,,
2015-07-09,72.78,,
2015-07-10,73.12,,
2015-07-13,73.88,,
2015-07-14,73.79,,
2015-07-15,73.65,,
2015-07-16,73.83,,
2015-07-17,73.39,,
2015-07-20,73.1,,
2015-07-21,72.74,,
2015-07-22,73.16,,
2015-07-23,72.51,,
2015-07-24,71.58,,
2015-07-27,71.38,,
2015-07-28,72.1,,
2015-07-29,72.23,,
2015-07-30,72.16,,
2015-07-31,71.98,,
2015-08-03,72.18,,
2015-08-04,72.25,,
2015-08-05,73.51,,
2015-08-06,72.79,,
2015-08-07,71.25,,
2015-08-10,71.48,,
2015-08-11,71.93,,
2015-08-12,72.58,,
2015-08-13,72.11,,
2015-08-14,72.38,,
2015-08-17,71.91,,
2015-08-18,69.48,,
2015-08-19,68.57,,
2015-08-20,68.43,,
2015-08-21,66.54,,
2015-08-24,63.95,,
2015-08-25,63.1,,
2015-08-26,64.83,,
2015-08-27,66.08,,
2015-08-28,64.94,,
2015-08-31,64.73,,
2015-09-01,63.82,,
2015-09-02,64.44,,
2015-09-03,64.86,,
2015-09-04,63.89,,
2015-09-08,66.38,,
2015-09-09,65.12,,
2015-09-10,64.12,,
2015-09-11,64.65,,
2015-09-14,64.28,,
2015-09-15,64.32,,
2015-09-16,64.69,,
2015-09-17,64.47,,
2015-09-18,63.34,,
2015-09-21,63.72,,
2015-09-22,63.59,,
2015-09-23,63.72,,
2015-09-24,63.83,,
2015-09-25,63.78,,
2015-09-28,63.66,,
2015-09-29,63.78,,
2015-09-30,64.84,,
2015-10-01,64.27,,
2015-10-02,64.98,,
2015-10-05,65.87,,
2015-10-06,65.68,,
2015-10-07,66.36,,
2015-10-08,66.88,,
2015-10-09,66.69,,
2015-10-12,66.93,,
2015-10-13,66.73,,
2015-10-14,60.03,,
2015-10-15,59.33,,
2015-10-16,58.89,,
2015-10-19,58.85,,
2015-10-20,58.75,,
2015-10-21,58.64,,
2015-10-22,58.9,,
2015-10-23,58.3,,
2015-10-26,58.02,,
2015-10-27,57.48,,
2015-10-28,57.64,,
2015-10-29,57.96,,
2015-10-30,57.24,,
2015-11-02,57.61,,
2015-11-03,58.11,,
2015-11-04,58.37,,
2015-11-05,58.61,,
2015-11-06,58.78,,
2015-11-09,58.49,,
2015-11-10,58.68,,
2015-11-11,57.58,,
2015-11-12,56.95,,
2015-11-13,56.42,,
2015-11-16,57.87,,
2015-11-17,59.92,,
2015-11-18,60.93,,
2015-11-19,60.7,,
2015-11-20,60.07,,
2015-11-23,60.26,,
2015-11-24,59.92,,
2015-11-25,60.24,,
2015-11-27,59.89,,
2015-11-30,58.84,,
2015-12-01,58.99,,
2015-12-02,58.35,,
2015-12-03,59.04,,
2015-12-04,59.66,,
2015-12-07,60.5,,
2015-12-08,59.61,,
2015-12-09,59.13,,
2015-12-10,59.56,,
2015-12-11,59.36,,
2015-12-14,60.39,,
2015-12-15,59.64,,
2015-12-16,60.3,,
2015-12-17,58.98,,
2015-12-18,58.85,,
2015-12-21,59.55,,
2015-12-22,60.54,,
2015-12-23,61.09,,
2015-12-24,60.83,,
